"","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240"
"248.336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252.814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902396170578865,0.00505759411429413
"257.296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838863324528948,0.00253793126243535,0.0067497053451244
"261.781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823384145753909,0.00417657751965952,0.00556793789505952,0.0109676975909195
"266.271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797741894939994,0.00329186420996267,0.00214415568723071,0.0115957215000474,0.0108060062979326
"270.764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965527248593199,0.00214616733264389,0.00423004434857872,0.00148092382873,0.0111257331297293,-0.00868969262416283
"275.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143184240676153,0.00468992552616176,0.00289460624513555,0.0025004663559762,0.0104598910118573,0.00524892494843412,-0.000433495235535845
"279.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108943481285382,0.00763650965425905,0.00482350216783902,0.00414476920156107,0.0123106738946702,0.00730745880687048,-0.00216290568554932,-0.00307835653993025
"284.264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00608015489133967,0.00526594157148102,0.00363381649125452,0.00823025287769563,0.00512525137862668,0.00305978872840504,0.000909473241004183,0.00281028670800034
"288.772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702143182285636,0.00723216929229279,0.00688448143374785,0.0116053466459022,0.0107311673950031,0.00464058954541799,0.00238162148105845,0.00440460046257621,-0.0086209671870232
"293.283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884944083704281,0.00675615154535906,0.00845585194128189,0.0104360599308778,0.0122695903593843,0.00787946527291269,0.00638372021335843,0.0054342649720327,0.00214422407439858,0.00296363760719781
"297.797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00942254049901062,0.00611817699693419,0.00725352784586257,0.0103804307471747,0.0160263068799985,0.0132765812136064,0.0114161767142636,0.0094759972875233,0.00661765942366153,0.00651986770409899,0.00451439007415098
"302.315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011866672564079,0.00609573688610575,0.00812928899665303,0.00986948077423604,0.0163030132750307,0.01752121682703,0.0141733056857088,0.0138760701898894,0.0132065442842088,0.0136137193350288,0.0115921837019312,0.00776924234836389
"306.837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130524428691329,0.00495683829623511,0.00697205157623839,0.00864134376906518,0.0134596476798504,0.0180941330036152,0.0149964055194254,0.0138690326984446,0.0160838486303535,0.0172290739256141,0.0160396511992676,0.0133874728217635,0.019128314065991
