"","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240"
"248.336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252.814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337024141365661,0.0158899794037367
"257.296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389877497481283,0.0104399086725252,0.0134693036700865
"261.781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428989862071068,0.0129333867357601,0.00428175576103709,0.0300937264509319
"266.271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447857779149093,0.0190137993846273,0.0113500705880645,0.00800111244337287,0.048190852256769
"270.764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470150296210205,0.0204787951700943,0.00669287127406671,0.0175539657054802,0.0364334489001952,0.0270070140269591
"275.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384963413766558,0.0237016769379184,0.00394740431134614,-0.00326235858027346,0.0165289091112688,0.00869291432792874,-0.00737164386232214
"279.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265442799592581,0.0314853145268036,0.00581580680654446,0.00376753715993997,0.00931841751512041,0.013764963025486,0.00474019861845611,0.00393830899314364
"284.264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358284372861915,0.00977397361750652,0.00708905551880414,0.011802527538273,0.0180660391278918,0.00783260328945741,0.00486702903840539,0.00846569783025821
"288.772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193535486797371,0.01303149707195,0.0103268932044673,0.0117062399128479,0.0157444046158838,0.0122458749809965,0.00931435462436124,0.00691238826325411,0.00750480834100899
"293.283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307938383287632,0.0114540084359804,0.0140007541362296,0.0143491335474,0.024490024553496,0.0124134652189691,0.00676281918713288,0.00634821593909071,0.00681983427343192,0.00354310868166558
"297.797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522521471291688,0.00995068548554126,0.0135799908239074,0.0142839162018985,0.0244504618812235,0.0217191038097602,0.0108334298224378,0.0112868205294303,0.00864925239035712,0.0168463482783489,0.0105497745361923
"302.315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665716372087547,0.00746616379452292,0.0106763619795843,0.0152294156818167,0.0199645359692719,0.0244004402147222,0.0159569405091918,0.0120636362800158,0.0135782689615003,0.0113710245443273,0.0137908413565715,0.00842442452376299
"306.837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845823569856021,0.00605070272778714,0.0083085878169304,0.0126954281619576,0.0172388479649847,0.0269702362304675,0.0186731822266482,0.013763491127432,0.0121723745737706,0.0127652497709679,0.0139407845198304,0.0165927518266923,0.0119172573522823
"311.362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848917870859361,0.00445835508958006,0.0042319846046898,0.00837288522218985,0.0110635480412234,0.0272819894529585,0.0212240293409685,0.0170382758966042,0.014694005153429,0.0154093580899081,0.0147016687286411,0.0166370825534172,0.0141697060986415,0.00491921969486293
"315.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962741418154786,0.00360049017179996,0.00304624769863817,0.00548853368797368,0.0073714039994031,0.0208023955818398,0.024072717808463,0.0196206993444609,0.0179051489355195,0.0177178776930336,0.0165726155972092,0.0169289322099085,0.0210359644138758,0.0140078510433376,0.0199455202289857
"320.422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012084150353752,0.00512260607767424,0.00293411307472125,0.00332172452097302,0.00470007506311108,0.0152568288846561,0.022840450844451,0.0187562730626157,0.0195711622971888,0.0181820157088755,0.0163107845066396,0.0191061705507979,0.0170376807427977,0.0193467643795881,0.0259688854889688,0.0179262676878527
"324.958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223010176987892,0.00547135114094471,0.00200583059939811,0.00230263757492279,0.00277353543267376,0.00679218675188345,0.0175867156341,0.0169989443148359,0.0178414930692062,0.0177491505653933,0.0155820652868625,0.0132464842328143,0.0134153681863592,0.0159246149835154,0.012065008355029,0.0158026873731375,0.02236421386
"329.496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061869384244928,0.00950257216652563,0.00235571494740711,0.00258641186876311,0.00220328739958501,0.00410835904874758,0.0159303968455012,0.0143526744302196,0.0163605700443108,0.0198628218121175,0.0197041228781435,0.0189661619760344,0.0175978699376195,0.0158536679708685,0.0170511095673589,0.0204335247762831,0.026759749908147,0.0425355414200275
"334.038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272279222611527,0.00969904462718481,0.00218219020168081,0.00208637992927983,0.00137498316796913,0.00235897032412675,0.00966635594485021,0.0128971644941548,0.0122622438115984,0.0159306867825097,0.0186468127580648,0.0191462070374429,0.0247993391867141,0.0155199923153761,0.014847873110149,0.0158793542797583,0.0155949937804886,0.0216080371376153,0.0173580688525846
