"","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5"
"Group001Sample0001",0.013833357570243,0.0190433511831248,0.0111706711945434,0.0170557582856292,0.0280989288823343,0.0145436495388232,0.00442679089626012,0.00913314333394509,0.00334173975962751,0.0105450579409181,0.0217427095341551,1.0683107255273,0.935219401261423,1.6404241638364,0.654950135166699,2.74782649928293
"Group001Sample0002",0.00852733486485709,0.0169521276681347,0.00879392579099634,0.0107997038170012,0.015165664066298,0.00792255244852248,0.00434224910053877,0.00869641425748704,0.00326713586638948,0.00971638112075631,0.0137015966466762,0.895472160302521,1.28934508120884,1.94805401638594,0.814274719011525,0.249806282578864
"Group001Sample0003",0.00857515632673498,0.0546341999756508,0.00721344468427234,0.0117252770811069,0.0215716085831886,0.0146906940130947,0.00305086383736795,0.00578899323604596,0.0024827550003424,0.00787698546349284,0.00900983908671978,0.789031987654793,0.981369529727055,2.01286051130274,0.615204624536799,0.243596669096977
"Group001Sample0004",0.00716073991218716,0.0170573442125861,0.00742965801458707,0.0104751228267779,0.0177899605204358,0.0247915346327039,0.00307768617913528,0.00618988170089065,0.00230615416024325,0.00792231110490407,0.0344399541293216,0.89093843465222,0.919572402447867,1.70036311695597,0.709266911467079,0.225713357234347
"Group001Sample0005",0.00852334129762827,0.0283784759641696,0.00804040302515087,0.0120144653635957,0.037900642655264,0.0146182814144717,0.00371672647104411,0.00650937433213722,0.0026500446997245,0.00821765113107123,0.0426434648573151,0.997775771044292,0.440920142375018,2.08855322926009,0.66922686793152,0.286949522906526
"Group001Sample0006",0.00949955676233933,0.0172555509256788,0.00984180474347921,0.0135192312798038,0.0220103172722854,0.0115959147489213,0.00447610510962158,0.00811468210202414,0.00348421598485232,0.00931809297047651,0.0354601121497237,0.843519044595536,0.987221712371054,1.94376495255842,0.727985529634497,0.331756324323072
"Group001Sample0007",0.0117740228470708,0.0530418198850662,0.00960074814847243,0.0149035777598605,0.0249471271215719,0.0183453307229435,0.00342086258229625,0.00738684169116631,0.00265727348652286,0.00964500396274158,0.0340261949052196,0.744089697954306,1.01882392253359,1.99085910969136,0.644190831434443,0.243863459835735
"Group002Sample0001",0.00988003168395107,0.0307816681103613,0.00996081600589217,0.0132688329407286,0.0373875590596834,0.012567059266163,0.00452733001766002,0.00846730645922815,0.00337812695186143,0.010090592355437,0.052990048038951,1.03504586695991,0.65477122900333,1.84033471255835,0.750692698475201,0.397299707568234
"Group002Sample0002",0.00821388668742317,0.0194227463261762,0.00898843992652791,0.0112777744416968,0.0166231541949988,0.0165924159971419,0.00434398505352396,0.0074671317408803,0.00345831986203656,0.00983872197955451,0.0352710407492326,0.819728403494566,1.0664792325675,2.04564279530754,0.797004761267027,0.300978799925966
"Group002Sample0003",0.00818418365585658,0.0252274402069849,0.00794060433813677,0.0111164205141867,0.0165925015423876,0.0224784449961886,0.00435270385682707,0.00671667796943231,0.00294541989145229,0.0079705569541741,0.0204887897838674,0.855174577143238,0.923891829488549,1.83737643887656,0.714313058596789,0.257322166295486
