"","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240"
"248.336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252.814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353249733004684,0.0201610904846343
"257.296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413893538972636,0.0154352611437474,0.0331603771807533
"261.781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527543326554333,0.014627773036428,0.00460789404314869,0.0181916982622874
"266.271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672582127822238,0.0197901497001215,0.0126152962936141,0.0115713047187296,0.0419835818049333
"270.764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668047149813099,0.0346527889667026,0.0082799484699156,0.0184201579240164,0.0329873745271764,0.0280724229550276
"275.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385105743500976,0.0391084355929429,0.00887144905359323,0.00511497037178038,0.0224960123793525,0.00918353464432187,0.00426966679512243
"279.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026179542805413,0.0376836454192818,0.0086260253282194,0.00565028921408452,0.0215771523717967,0.00852656052714967,-0.000124023655141497,0.0104981166789654
"284.264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415611683511524,0.011811416984704,0.00980653866361263,0.0226167304890426,0.0219222658441983,0.00447715453817778,-0.00251590475028646,-0.00814873987753366
"288.772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230542752019696,0.0151088091441366,0.0181556213835611,0.0204278509953394,0.0225757590762938,0.0130285953088458,0.00818063939500738,0.00109119114411839,-0.00101340345001473
"293.283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300932674981722,0.0115735096772325,0.0183073284971911,0.020265979770934,0.0359609416130404,0.0204202729223565,0.0103723061431932,0.0113791721792791,0.0130623035878241,-0.0130313698647989
"297.797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510485064073541,0.00998514599020709,0.0141780381256406,0.0189664512950579,0.0326687066747213,0.031281767327716,0.0216486017841571,0.0187810194458058,0.0165494638339686,0.0250571060522388,0.0224784449961886
"302.315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064113661436804,0.00760215447949674,0.00993965810156733,0.0145866295425887,0.0252274402069849,0.0350442167847712,0.0244205727805964,0.0213028498641971,0.0165401658939302,0.0161528313975113,0.0152393998324801,0.00533294116918251
"306.837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823648447355907,0.00573267864434518,0.00771565370577005,0.0122204096875606,0.0189759781534954,0.0313623777778316,0.026310193785522,0.0236048127292268,0.0209633143514229,0.0209857145479799,0.0194673879569109,0.0261561085765635,0.0211770094749732
"311.362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820424082472582,0.00474729668291961,0.00339389034518155,0.00671270530999847,0.0112801867751103,0.0253316536561746,0.0243679793320978,0.0220258646189696,0.0226300627169589,0.0220607673469764,0.0170920674092546,0.0154079562700642,0.0171452610022591,0.00329159733424808
"315.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955108704277943,0.00315841313600277,0.00332613830171541,0.00383557153451145,0.00560108521099523,0.0183866043041945,0.0226763782062774,0.0206445562811084,0.0205142742369083,0.0218110676830886,0.0200788316973192,0.0162932296682454,0.0209773486247428,0.0113384375201073,0.0229125106566389
"320.422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122976425601526,0.00447328486059314,0.00258676395337663,0.00251343435291477,0.00348835779360981,0.0107356497124777,0.0213944915117299,0.0164785357194322,0.0171607165103334,0.0199095615794355,0.0190575490657509,0.0199688154070112,0.0152839871916293,0.0167404566651923,0.0218980851308674,0.0213803981313108
"324.958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000741236574449244,0.00633230064660699,0.00173956337134593,0.00196266031701591,0.0024696553754841,0.00661511583500343,0.0173161432124442,0.0137661454227494,0.0162203571119093,0.0166979617271999,0.0165977174603584,0.0200404574031154,0.0182981356577634,0.0162774464472917,0.0167667771817369,0.0154745094550628,0.0358998020355814
"329.496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106695806477408,0.0102970797195531,0.00245933221629796,0.00269452158084894,0.00202138190032,0.00348084081791038,0.0123665253021144,0.0116666885636086,0.0135402059072834,0.0171202428714282,0.0182058200092692,0.0206043442949462,0.0210443901843657,0.0196860145842383,0.0183398641664146,0.0244951656544546,0.0281644371392255,0.0426416713809694
"334.038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000866336804731693,0.0117877949964285,0.00210168292086233,0.00255179768780803,0.00165653901133624,0.00166828510101241,0.00827960955889359,0.00994479785506196,0.00850456785823487,0.0133758231693105,0.0166752499000949,0.0175088329740455,0.0193263787864988,0.0177056762600508,0.0167121875195548,0.0166831670740509,0.019389618348159,0.0218978393881,0.0276393486478044
"338.584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445204831020729,0.0167645390566567,0.00175352881350049,0.00204105535650727,0.00184457019754372,0.00200304264614252,0.00411603325138246,0.00988507222817098,0.00522224210628916,0.00979044263777751,0.0129127791707639,0.0165855674559724,0.0165925015423876,0.016548237287118,0.0163082451973161,0.0162804629709415,0.0146234052008828,0.0144459605188726,0.0183210916309496,0.0210953408210223
"343.133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016560289775891,0.0205813825666655,0.00246640961866661,0.00204246399064828,0.00125077062081306,0.00238396732110653,0.00322057599958325,0.0101545035131256,0.00485083438545118,0.00577784275334328,0.00866185272756297,0.0125895495309359,0.0161311409321294,0.0164661202069921,0.0157564208232117,0.017830503663308,0.0147065965159353,0.0129457938354786,0.0129114721538573,0.0205325958477226,0.024507176918568
"347.685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026905678033897,0.00241817299910532,0.00134498120293954,0.00176929940603426,0.00183693602134174,0.00242090019989805,0.00708614307207311,0.00609774518283208,0.00420777008229957,0.00565111650136382,0.00942478257382436,0.0128364851781779,0.0147150932067079,0.0155853909272006,0.016131120575785,0.0151574457905528,0.0157199794883993,0.0106587313381399,0.00770082393444708,0.00997777241290243,0.00353688362782447
"352.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332721055721644,0.00265860036888889,0.00269600845975257,0.00282021693539184,0.00310018603003304,0.00325196119775124,0.00673668434416422,0.00842949699366367,0.00499787234918761,0.00512078324445568,0.00669697373245306,0.0100752412775033,0.0129641002772297,0.0150368012287838,0.0162998842024993,0.015902128912339,0.0162864866691297,0.0143968014066144,0.0163360299413075,0.0155678493232301,0.0179617919359329,0.0235161429032695
"356.799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329397476189821,0.00269535750615885,0.0021912141863322,0.00269967261147229,0.00358640122499572,0.00291897688352947,0.0060075129040757,0.00721453488002868,0.00519727531447194,0.00579926542654824,0.0060174987751393,0.00732212922663413,0.00920921002996947,0.0126431687174138,0.0141292065297909,0.0160260704465477,0.0165574215035934,0.0161127025373779,0.0126527229058877,0.0113463057063726,0.0172988223578543,0.0193856131807817,0.0204887897838674
"361.361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316783050704199,0.00303792041117711,0.00253464038837403,0.00259497730387169,0.00333536469892124,0.00410147916007622,0.00589606996259978,0.00856850446723398,0.00722219059804299,0.00626046356233247,0.00697991582356349,0.0078863388636654,0.00910307507453362,0.0115128989186068,0.0139630458393843,0.0147072285862669,0.0164580873586083,0.0174936603298679,0.0163426289657382,0.0162180736046885,0.0150507496550512,0.0230340170574744,0.0198182001925008,0.0292481623593021
"365.926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391655433158487,0.00243238526020132,0.00201858334772083,0.00223932167036334,0.00266726579195879,0.00403699871235178,0.00501763808065689,0.00763767827581359,0.00882871884497625,0.00621943680076159,0.00706442220795501,0.00687480772101752,0.00699243501789633,0.00844137459067507,0.0107388455350797,0.0135022646202968,0.0143779377917508,0.0144352621256127,0.0129489409981149,0.0147241794008139,0.0144072608306383,0.0123235831639162,0.00991220417287497,0.0149792240479921,0.0302595893661415
"370.495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320229878988927,0.00271447550206864,0.00135950915606937,0.00185946094803442,0.00308188332163474,0.00353034174096671,0.00421602545825698,0.00749973993176724,0.00899337780509225,0.00706090734555447,0.00768953460487538,0.00789866874382449,0.00767805419720144,0.00783244322648969,0.00925670773504468,0.0116928312197033,0.0127877708217973,0.0138726492388794,0.0136159278245185,0.0148843444797272,0.0133306349548255,0.0131575276576757,0.0140847205170354,0.0138238398794693,0.017602424514697,0.0298565601896637
"375.067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184746087060304,0.00239488445634427,0.00125348737285984,0.00192394119979866,0.00219917815904566,0.00361852539175334,0.00427934906039803,0.00562461263342851,0.00971204146525378,0.00782772373874163,0.00759399179133736,0.00825490514539897,0.00867510710323383,0.00877738203197692,0.00850621231191785,0.00966970093385491,0.0111666969444409,0.0144276366482598,0.014497762258168,0.0141970291164985,0.0144292046504955,0.0136601344136321,0.0129728157235427,0.0135816187634495,0.0175453226146028,0.0181456468404604,0.0276571697428308
"379.641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371810102793861,0.00232348530671872,0.00129967376318919,0.00193562641343522,0.00270785975354107,0.0033998901141892,0.00434397119605471,0.00464599782254126,0.00991750343917894,0.00884560170964,0.00945921557218201,0.0086703601573439,0.00925068129468818,0.00935089859157777,0.00970373860085351,0.0104248519472714,0.0103131564163548,0.0113399343936158,0.0129688312386975,0.0153480946088343,0.0142180378806387,0.013850235846233,0.0140434410335002,0.014423229000476,0.015792786873576,0.0212402758047585,0.0202523697149328,0.0228033701285309
"384.219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492693245960137,0.00409367328011014,0.00112802958296314,0.00154785422057775,0.00190927779289285,0.00280353032309767,0.0037129841279242,0.00486535475546264,0.00772321943060765,0.010125506873082,0.00852449218973795,0.00873363944362174,0.00977228053682986,0.00991176929621219,0.00960399316425484,0.0102547995026879,0.0106382239435011,0.0113995161679377,0.0120573268832662,0.0146917684098834,0.014182621193972,0.0142694232551842,0.0136340609890888,0.0136738241343923,0.0140477721797336,0.0137820641786733,0.0149050248535947,0.0172393787540151,0.0130084684849654
"388.801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587069731233984,0.00527863163638381,0.00145924432194985,0.0017363298513109,0.00216581204541684,0.00289143225038207,0.0036347941584559,0.00483713156668776,0.00603550185562789,0.0093809214085151,0.00833170063114036,0.00897219727807234,0.00980763236310646,0.00980703582212424,0.0108963273766113,0.0106187300930783,0.0111835671320293,0.0121618246548865,0.0116405164020652,0.0130429779398099,0.0148001186024983,0.0146009248893342,0.0145984450283421,0.0148402354830027,0.015399017923832,0.0177219363041804,0.0153662598841405,0.0214827552815551,0.0311595148318111,0.0304133055609319
"393.385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293684622582479,0.0142124503470145,0.00136580868954164,0.00127174144607301,0.00169066156208744,0.00238084159503664,0.00321910901505117,0.00399940617342612,0.00496177632627122,0.0089978138315792,0.0082295001914327,0.00844277830589341,0.00888456183007705,0.00963164831683103,0.00963643372512996,0.0107414815019163,0.0109277563555401,0.0107149259966924,0.0107508469327393,0.0112525985643507,0.0121266473945454,0.0131650980870397,0.013315533211126,0.0135086393711411,0.0128833665824225,0.0134137500292983,0.0116892807331352,0.0157493666111672,0.0161273005730315,0.0222936919773162,0.0213512394139832
"397.972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228834845220615,0.210032934435172,0.00180566960683887,0.00147126526260621,0.00159161592786231,0.00217075238056596,0.0029634938748588,0.0033458778940102,0.00392584942138239,0.0075159853684762,0.00863495550788707,0.00765087627860546,0.00905248493183264,0.00926623986913951,0.0103522899745324,0.0107854666973858,0.0106512850398202,0.0110080065550342,0.011340856536292,0.011858896409234,0.0119617814305981,0.0119331420071658,0.013332075383843,0.0129112912434399,0.0133781575119038,0.0140101034214059,0.0137926702689744,0.0147287491549069,0.0119483950281778,0.0170613928401234,0.0214475675464462,0.0346881377636186
"402.562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500366362057416,0.406558407494724,0.00633417239986425,0.00179219051693923,0.00206180709732632,0.00234564299678848,0.00265894021755212,0.00356462428401906,0.00424335252321703,0.00646132492187219,0.00846288046680577,0.00746310583668286,0.00868015212330713,0.00878731864017456,0.00924396235329606,0.0097917709654204,0.0103837998693245,0.0105538866522605,0.011074139170999,0.0118897691606536,0.0111535371589893,0.0118987287181887,0.0120163871891712,0.0125702600185583,0.0129145287232293,0.0129416173027548,0.0128812080759698,0.0138093076294561,0.013512737192856,0.0163214651604393,0.020438428973544,0.0227078190296296,0.0227438968211879
"407.156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499345743661242,0.349315945738986,0.00984838963885593,0.00447909534233208,0.00190504487441383,0.00211250949360076,0.00266330182300352,0.00308489983339968,0.00390993932392605,0.00470134184809019,0.00785426091363985,0.00767316122295475,0.00740218064050348,0.00831937237316717,0.00936441264240463,0.00921644832206944,0.0101274559348466,0.0100797800065778,0.0111026538402119,0.0111164205141867,0.0117541292231671,0.0119177518241887,0.0118104252512232,0.0115907433612232,0.0122726888584337,0.0124698312028119,0.012102709967405,0.0120133948312138,0.0125992906593643,0.0130726539832563,0.0154645345009528,0.0206226407605126,0.0266310472868655,0.0321700059158462
"411.752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025843448953852,0.0521861310241453,0.00652221753839778,0.00623138660457823,0.00316420953201007,0.00158203863212682,0.00209186619935143,0.00285203775855608,0.00341124103175886,0.00375638932999652,0.00671039747841191,0.00732072765851662,0.0064977376099388,0.00745232778874595,0.00789552622272098,0.00923399759407215,0.00927235739049112,0.00973270259450702,0.00973821189475244,0.0103229259938306,0.0108956628005267,0.0112630021671505,0.0114335479991349,0.0103693210680283,0.011200624029429,0.0114802276170877,0.0106401883513923,0.0117467797167306,0.0119732345485819,0.0122603388777428,0.0134078714039323,0.01423160360791,0.0172013110592093,0.0168572850534633,0.0354243251716053
"416.352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00081767310374331,0.00274949583759866,0.00462395413724265,0.00516483209624886,0.00332587735689958,0.00239749965053736,0.00320597067940464,0.00310993045795918,0.00377020822604035,0.00574534404161905,0.00744609412775003,0.00636753144703726,0.00735467474240748,0.00774931976330383,0.00854609375280421,0.00901688062328486,0.0095380452882759,0.00954756624745301,0.0101920444899345,0.0102243292796496,0.0107956253942472,0.0107656512942793,0.0111779823440424,0.0109583596957908,0.0119589253902194,0.01137045528579,0.012280522422266,0.011317779527383,0.0127765281638305,0.0135742763736494,0.0144031312879887,0.016093865212933,0.0217176824390534,0.0201757922128919,0.0212213044191207
